# SIMULATED control points sampled from swisssurface3d_rural_2621-1202_dsm_0.5m.tif / swissalti3d_rural_2621-1202_dtm_0.5m.tif (seed=0); not surveyed.
# crs=EPSG:2056
# vcrs=EPSG:5728
id,x,y,z,type,sigma
G01,2621045.25,1202134.25,812.022,ground,0.3
G02,2621155.75,1202942.75,776.673,ground,0.3
G03,2621379.25,1202419.75,820.060,ground,0.3
G04,2621936.75,1202303.75,774.611,ground,0.3
G05,2621281.75,1202589.75,794.587,ground,0.3
G06,2621426.25,1202718.75,748.007,ground,0.3
G07,2621242.25,1202625.25,797.730,ground,0.3
G08,2621214.25,1202898.75,763.208,ground,0.3
G09,2621488.25,1202292.25,818.522,ground,0.3
G10,2621534.75,1202159.75,798.426,ground,0.3
G11,2621440.25,1202091.75,840.598,ground,0.3
G12,2621109.25,1202836.25,785.038,ground,0.3
O01,2621591.25,1202970.75,792.620,object,0.3
O02,2621794.75,1202775.25,823.590,object,0.3
O03,2621337.75,1202302.75,878.280,object,0.3
O04,2621665.75,1202896.75,791.670,object,0.3
O05,2621545.75,1202392.25,789.070,object,0.3
O06,2621778.75,1202283.75,767.030,object,0.3
O07,2621644.75,1202940.25,775.420,object,0.3
O08,2621606.75,1202646.25,794.810,object,0.3
O09,2621494.25,1202965.75,743.160,object,0.3
O10,2621360.75,1202289.75,889.040,object,0.3
O11,2621395.25,1202978.75,764.980,object,0.3
O12,2621761.75,1202438.75,729.990,object,0.3
