# SIMULATED control points sampled from swisssurface3d_urban_2682-1247_dsm_0.5m.tif / swissalti3d_urban_2682-1247_dtm_0.5m.tif (seed=0); not surveyed.
# crs=EPSG:2056
# vcrs=EPSG:5728
id,x,y,z,type,sigma
G01,2682917.75,1247160.25,409.126,ground,0.3
G02,2682641.25,1247964.75,408.372,ground,0.3
G03,2682653.75,1247512.75,411.340,ground,0.3
G04,2682705.25,1247383.75,411.445,ground,0.3
G05,2682071.25,1247723.75,410.724,ground,0.3
G06,2682503.25,1247830.75,409.199,ground,0.3
G07,2682864.25,1247761.25,408.935,ground,0.3
G08,2682722.25,1247940.75,408.458,ground,0.3
G09,2682381.75,1247369.75,411.324,ground,0.3
G10,2682656.75,1247199.75,412.420,ground,0.3
G11,2682551.25,1247099.75,414.105,ground,0.3
G12,2682515.75,1247912.25,408.828,ground,0.3
O01,2682874.75,1247958.25,422.840,object,0.3
O02,2682356.75,1247582.25,434.280,object,0.3
O03,2682897.25,1247168.75,423.860,object,0.3
O04,2682267.25,1247779.75,429.740,object,0.3
O05,2682573.25,1247247.25,437.450,object,0.3
O06,2682817.75,1247154.75,429.530,object,0.3
O07,2682096.75,1247886.75,431.360,object,0.3
O08,2682222.25,1247436.25,426.710,object,0.3
O09,2682684.75,1247947.75,431.760,object,0.3
O10,2682933.25,1247159.75,435.040,object,0.3
O11,2682560.25,1247977.25,426.350,object,0.3
O12,2682230.75,1247276.75,428.320,object,0.3
